"Date","MRYC1L","NBBC1","ORDC1"
"1985-10-02","0","0.3480825","1.38616666666667"
"1985-10-03","0","0.24384","1.20560083333333"
"1985-10-04","0","0.210066666666667","1.16709875"
"1985-10-05","0","0.20612","1.15124916666667"
"1985-10-06","0","0.202614166666667","1.13824041666667"
"1985-10-07","0","0.293680416666667","1.18332791666667"
"1985-10-08","0","0.228018333333333","1.16285375"
"1985-10-09","0","0.22331","1.16691625"
"1985-10-10","0","0.209269583333333","1.196995"
"1985-10-11","0","0.189248333333333","1.15580916666667"
"1985-10-12","0","0.18542375","1.11939291666667"
"1985-10-13","0","0.182255416666667","1.10395916666667"
"1985-10-14","0","0.17925","1.09715916666667"
"1985-10-15","0","0.176230416666667","1.09206041666667"
"1985-10-16","0","0.173298333333333","1.08777416666667"
"1985-10-17","0","0.170455416666667","1.08398833333333"
"1985-10-18","0","0.16760625","1.08052625"
"1985-10-19","0","0.164788333333333","1.07494375"
"1985-10-20","0","0.162021666666667","1.06162916666667"
"1985-10-21","0.00269916666666667","0.211684166666667","1.54006291666667"
"1985-10-22","0.0033425","0.464105","2.40538583333333"
"1985-10-23","1.79166666666667e-05","0.260965416666667","1.75246416666667"
"1985-10-24","0","0.30600125","1.53674333333333"
"1985-10-25","0","0.233113333333333","1.30565166666667"
"1985-10-26","0","0.172411666666667","1.21629583333333"
"1985-10-27","0","0.1584975","1.18691125"
"1985-10-28","0","0.152524583333333","1.17268416666667"
"1985-10-29","0","0.1496925","1.161645"
"1985-10-30","0","0.146972916666667","1.15133291666667"
"1985-10-31","0","0.144422916666667","1.14364875"
"1985-11-01","0","0.141897083333333","1.13654708333333"
"1985-11-02","0","0.139415416666667","1.12994291666667"
"1985-11-03","0","0.136990416666667","1.12279541666667"
"1985-11-04","0","0.13468","1.11721541666667"
"1985-11-05","0","0.132389166666667","1.11221458333333"
"1985-11-06","0","0.130125416666667","1.10700291666667"
"1985-11-07","0","0.12798375","1.10304375"
"1985-11-08","0","0.12584875","1.09904666666667"
"1985-11-09","0","0.150745416666667","1.1058875"
"1985-11-10","0.001835","0.165269583333333","1.31694208333333"
"1985-11-11","0.00297958333333333","0.163156666666667","1.39999208333333"
"1985-11-12","0.0024375","0.129020416666667","1.22385083333333"
"1985-11-13","4.45833333333333e-05","0.124961666666667","1.2143125"
"1985-11-14","0","0.124265","1.2095"
"1985-11-15","0","0.12969","1.20561"
"1985-11-16","0.000439166666666667","0.196025833333333","1.39448125"
"1985-11-17","0.000244583333333333","0.229787916666667","1.3522325"
"1985-11-18","0.000238333333333333","0.1476075","1.27547625"
"1985-11-19","8.33333333333333e-07","0.139209166666667","1.21260083333333"
"1985-11-20","0","0.129799166666667","1.18801166666667"
"1985-11-21","0","0.126529166666667","1.18100416666667"
"1985-11-22","0","0.12332375","1.17234958333333"
"1985-11-23","0","0.121359166666667","1.17022291666667"
"1985-11-24","0.00328","0.407097916666667","1.50508416666667"
"1985-11-25","0.01392","1.80238916666667","2.56012625"
"1985-11-26","0.00218291666666667","1.27590375","2.01226583333333"
"1985-11-27","0.000823333333333333","0.31589125","1.56710333333333"
"1985-11-28","0.00486833333333333","0.61520125","2.04910875"
"1985-11-29","0.0121608333333333","2.09040041666667","2.9783975"
"1985-11-30","0.0261383333333333","2.645925","4.5253575"
"1985-12-01","0.0241654166666667","0.823775","2.74643625"
"1985-12-02","0.0269383333333333","0.844212083333333","3.15002541666667"
"1985-12-03","0.0401783333333333","4.38128791666667","8.28404541666667"
"1985-12-04","0.0355904166666667","2.91692958333333","7.49152541666667"
"1985-12-05","0.0314304166666667","0.769081666666667","4.95371708333333"
"1985-12-06","0.0305666666666667","1.08983875","5.99942541666667"
"1985-12-07","0.0258258333333333","0.784977916666667","4.52032583333333"
"1985-12-08","0.0238516666666667","2.59957916666667","6.02230041666667"
"1985-12-09","0.0200020833333333","1.45149208333333","4.66504083333333"
"1985-12-10","0.01725625","0.734097916666667","3.62996291666667"
"1985-12-11","0.01503125","0.64186","3.160605"
"1985-12-12","0.0131341666666667","0.598615","2.90547958333333"
"1985-12-13","0.01152375","0.564014166666667","2.72934416666667"
"1985-12-14","0.0101433333333333","0.5333925","2.58643958333333"
"1985-12-15","0.00896","0.506261666666667","2.46852416666667"
"1985-12-16","0.00794833333333333","0.483910833333333","2.36946291666667"
"1985-12-17","0.00708583333333333","0.4646525","2.28415458333333"
"1985-12-18","0.0063375","0.446091666666667","2.21664916666667"
"1985-12-19","0.00569125","0.42943","2.16138958333333"
"1985-12-20","0.00513958333333333","0.413725","2.12164875"
"1985-12-21","0.00469375","0.399245833333333","2.07151708333333"
"1985-12-22","0.00429","0.385760833333333","2.02005"
"1985-12-23","0.00387666666666667","0.37392625","1.97478083333333"
"1985-12-24","0.00355916666666667","0.36560375","1.94541166666667"
"1985-12-25","0.00328291666666667","0.360291666666667","1.92673"
"1985-12-26","0.00303625","0.350005833333333","1.90527666666667"
"1985-12-27","0.00281625","0.339259583333333","1.87628333333333"
"1985-12-28","0.00271166666666667","0.3290725","1.83581166666667"
"1985-12-29","0.00257625","0.320413333333333","1.81332583333333"
"1985-12-30","0.0084675","1.29281958333333","3.81995416666667"
"1985-12-31","0.00441916666666667","3.505835","7.02226"
"1986-01-01","0.00254833333333333","0.883737916666667","4.39875458333333"
"1986-01-02","0.00246291666666667","0.640269166666667","3.19675125"
"1986-01-03","0.00239333333333333","0.576140416666667","2.7393625"
"1986-01-04","0.00263083333333333","0.537417083333333","2.61542625"
"1986-01-05","0.0076725","2.42881458333333","8.860145"
